index,review_title,overall_rating,review_text,recommends,pros,cons,experience,shift
1,Associate Software Engineer,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Good to explore new technologies,There are no cons in specific,1,Full-Time
2,Balanced Company,Recommends,Neutral Outlook,I have been working at this company full-time for more than 3 years,"Good Company
Free Transport
TImely Promotion if you do shoe police nicely to your manager
Year end Hikes ranging from 10% to 16% average","Stupid merciless/heartless manager who always like to screw resources.
Dumb TL's who dont have power at all. They will never support Resources.They always polish manager's shoes and listen to what he says.",4,Full-Time
3,Good Company,Recommends,Approves of CEO,I have been working at this company full-time for more than 3 years,Good Company. Although it depends on the Project also. Some projects are really busy with lots of work load and some are very chilled out. you will not be asked to stretch or work on weekend until it is very much necessary.,"It has 10 hrs of work timing. Sometimes you feel being a senior employee the work that you are doing is not upto your level. any new comer can also work on your belalf. Although they have an extensive learning portal but learning on project level is quite less sometimes when you are the only resource working in the project in your Technology.

Also, there interview process is not very transparent. Some people dont even get jobs even after clearing all the rounds they are put on hold and no body knows what is the status of your hiring.

Simillarly there internal processes are not transparent you never know when you will be pulled out of the project for a different work and you will not be able to provide your opinion in your hiring or your interest and your experience.",4,Full-Time
4,Working environment,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"If you are looking for a career in IT services it’s one of those companies to start with however, down the years you might not get what you are expecting so its definitely smart to switch within a year or two.
Its an enterprise where there are many employees so that lower strata of employees never feel much job pressure. But again it's not the place for passionate workers.
this company provides you opportunities to learn and get trained in a technology you might feel confident about but it doesn't guarantee you projects on that particular technology always.
at the end , the above points are purely my personal view that I felt in my tenure in this company.","There are no cons as such. I found this company experience totally subjected to an employee’s nature. If you are introvert and don’t ask for work proactively, you might feel like a tiny fish in a vast ocean, and probably become an unidentified robo in the crowd.

On the other hand, if you are proactive enough to take up any work, asking for more, showing enthusiasm in extra activities, you will end up gaining good visibility that will help rocketing your growth up in this company.

Also, this company provides free certifications time to time to upskill employees, and in case one gets into a niche skill, bonus is provided.

Other than that if you compare the salary part wih any other service company, you won’t be disappointed, but once compared with other leading product companies, it’s disheartening. And that can be considered as a ‘con’.",4,Full-Time
5,Great Company to work with not a great package,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time for more than 8 years,"Good Ecosystem. One can learn and do many task of the choice of their own.
Good Strict Company policies.
Many Management are caring during critical situations like covid pandemic or similar.
Good Learning tools and portals available.","If you are from initial phase of your career in the company then the overall CTC is far less as compared to peers who joined as laterals.
Worst Notice Period of 90days.
No Connections of the employee with the HRs and higher management above Sr. Managers.
Many HRs are very rude to talk to.",9,Full-Time
6,Best Company to work with in India,Recommends,Positive Outlook,I worked at this company full-time for more than 8 years,"1) Employee Satisfaction is primary
2) Payscale is better compared to industry standard
3) Availability of services for employees
4) The level elevation is a transparent process","1) Performance management process is stringent and can lead to the firing of employees who is performing average
2) Movement to another organization like consulting and strategy is not promoted
3) Though the work culture is impressive, however, the average tenure for employees are more than 5 Yrs",9,Full-Time
7,Good place to start your career,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,"If you want to get into IT, its one of the best places. Good focus on training employees on various technologies. You get to learn a lot whoch will be useful in your career ahead in or out of this company","You may not get your desired project which would utilize your skills on your favourite tech. In such a case, you need to find your way out of that project somehow and work on your own to find what suits you.",1,Full-Time
8,Best company to work for but,Recommends,Neutral Outlook,I have been working at this company full-time,"We get very good salary hikes and bonus
Good work environment","Few projects are worst with bad politics.

My Italy manager have very good impression on me and it was told to my TL by her. But he never interested to tell the same to my Indian manager.

You need to get out of company just because you cannot take politics any more and also too much politics played in the team to get promotion.

Too much favoritism. 

Promotion preference is given to those who are close to TLs, only then the remaining people will be considered to give promotion.

For example: My TL's best friend got promoted first then the other guy in my team got promoted in the next cycle that too he is having more experience than my TL's best friend.

TLs will intentionally give appreciation mails to those who are favorite to them.

Very cheap trick played by TLs.

TLs create many reasons to scold you infront of managers.",5,Full-Time
9,Good for freshers,Recommends,Positive Outlook,I have been working at this company full-time,"Good for freshers.
this company doesnot just remove people in bench.
Many internal trainings available.","Too much of discrimination against BCA graduates.
Mechanical Engineering graduates who join as freshers and have no idea about computer programming and software are paid more than BCA graduates with 2 years of experience.
Also they have a bigger share on variable pay , market correction , hike, promotion .

BCA is a three year degree and engineering is 4 year degree.
BCA involves everything purely about computer software hardware development etc, whereas people from automobile, mechanical etc who are not that well versed with computers are paid a lot more everytime, just coz of an engineering degree that too an irrelevant one.",5,Full-Time
10,Appraisal system is slowing down the company,Doesn't Recommend,No Opinion of CEO,I worked at this company full-time for more than 8 years,"1)lots of things to learn at management level. Especially on presentation skills and building relationships with clients 
2) There is a growth path as people at every level are constantly being fired
3) salary is good at senior levels","1) Appraisal system is very bad at times you have to remove 15% of folks.plus there are restrictions on whom you can put at that level women can’t be given the bad ratings plus you have to keep women in the team, this means sometimes the percentage of bottom cases moves to 40%.The entire year the year end appraisal keeps playing on the head and employees work in fear . Hence many times not taking risks
2) people at manager and above level are not doing a lot of technical work. It’s mostly client handling, showcasing work within this company a, managing resources and escalations
3) At times people are working more for this company internal leadership than the client",9,Full-Time
11,Great place to work for both freshers and experienced candidate.,Disapproves of CEO,Approves of CEO,I worked at this company full-time for more than 3 years,"Work Culture
Hike
Promotion
They didn't miss to recognize the talented employee",I didn't see any cons. Compare with other service-based MNC.,4,Full-Time
12,Good work but bad pay,Approves of CEO,Negative Outlook,I have been working at this company full-time,"Good Team, Collaborative, Good Learning, No pressure, Interesting projects","Low pay, no stocks, less bonus, less flexibility, huge size",5,Full-Time
13,Good,Approves of CEO,Neutral Outlook,I have been working at this company full-time,"Good employee benefits, if you're in a good project, life will be good at this company",Pay is less compared to compitators,5,Full-Time
14,I am working with this company from last 4 years,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time,"WFH provided to all employees in the start of pandemic itself, training and sessions were conducted remotely for new comers in project. Got opportunity to work on multiple skills like sql, shell scripting,performance testing",Management want the results in lesser time. They need to understand that training provided to employee given remotely take time someone to grasp. I have been in 2 projects in this company and management is very selfish they just see their profit part nothing else. Managers literally ask employees to sit for 9+ hours in working day even though when there is less work.,5,Full-Time
15,About this company,Recommends,Approves of CEO,I have been working at this company full-time,"Great career growth, Decent work life balance, Plethora of inhouse educational courses",No cons so far in my experience,5,Full-Time
16,Best company,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Work culture is very nice,No cons. The company is best to start your career with,2,Full-Time
17,Best company,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,"Best salary
Awesome culture
Amazing perks
Best management",Everything is perfect here. Haven’t seen anything bad till now.,1,Full-Time
18,Best services company to work for,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Perks, good work environment. Appraisal",Nothing much to add here.,2,Full-Time
19,Good collegeues,No Opinion of CEO,Neutral Outlook,I have been working at this company full-time for less than a year,Great client engagement and best collegeues for learning,Slow growth and with low increments,1,Full-Time
20,Best company,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Work culture is very nice,No cons. The company is best to start your career with,2,Full-Time
21,Best services company to work for,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Perks, good work environment. Appraisal",Nothing much to add here.,2,Full-Time
22,Excellent company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Good training. Good remuneration and environment.,Policy to kick employees out each year,4,Full-Time
23,Great company,Recommends,Positive Outlook,I have been working at this company full-time for more than 8 years,"1. Focus on employees.
2. Fair compensation.",1. Ease of movement to different projects.,9,Full-Time
24,Good Service Based Company with great opportunities and average benefits,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Good opportunities and decent shift allowances.,Few benefits and shift timings are not good enough and recognition is purely account based.,2,Full-Time
25,Work Experience,Recommends,Neutral Outlook,I have been working at this company full-time for more than 5 years,"Learning Growth
Good Hike
Better opportunities
Good Recognition
More Reward","Long working hours
Work -Life Balance
Management Politics",6,Full-Time
26,Best Company to work with.,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"- One can learn skills set on their own and switch domain.
- Investment in this company stocks gets you straight 15% discount on the face value
- Behavior of the Management towards is taken seriously.
- Lots of this company Sponsored courses to learn and keep growing","- Inital pay is low. But if in return it offers work life balance.
- Promotions take time.",6,Full-Time
27,Caring,No Opinion of CEO,Disapproves of CEO,I have been working at this company full-time,"Ethical, caring and open culture",Part of IT Industry :),5,Full-Time
28,This firm needs to reboot!! TERRIBLE MANAGEMENT.,Doesn't Recommend,Negative Outlook,I worked at this company full-time for more than 3 years,"1. Good work life balance.
2. Free Transport.

I spend close to 4 years at this company, but cannot think of more pro's.","1. Terrible projects. Since 2019, this company's graph is going down as far as good clients are concerned.

2. Majority support projects.

3. Terrible Office Politics. People here at this company Gurgaon, indulge in office politics more than they involve themselves in work. this company is loosing good talent because of that.

4. No learnings. No certifications encouraged. One has to beg management to get approvals.

5. Onshore is purely based on office politics. One who praises management gets it and deserving people always are left out.

6. Out of proportion work. No tasks are pre defined. this company's manager sometimes hire people for something else and put them on completely different work.

7. Bad HR policies. HR is suppose to help people with issues, but here the HR reports the complaints directly to management and works on their discretion. this company has worst HR policies and everything is on papers. No action is taken on grievances.

8. Mostly night shifts are given to people with whom management has ego issues. It is a kind of punishment one is given for not being a praiser.

9. I repeat, never come to this company Gurgaon office. Its the hub of most terrible management as they do less of work and focus majorly on office politics. I think, majority of bad experiences posted here at Glassdoor, are of whom who worked at this company Gurgaon offices.",4,Full-Time
29,Work at this company,Disapproves of CEO,Approves of CEO,I worked at this company full-time for less than a year,"-facilities like transport, recreation areas
-work culture","-depending on your project, if you don't get a good one, you will find the work menial.
-office politics(depends on the team you're in)",1,Full-Time
30,Not a Company who cares about it's long standing employees,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time for more than 8 years,Nothing as such .. Just a Company,"Poor HR policies, Manager Centric",9,Full-Time
31,Great company to work for,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"1. Amazing work culture
2. Salary is good
3. Flexible working hours
4. Good bonus
5. Management is good","1. Might get montonous in the project after a while
2. You have to look out for your professional growth or else it might feel stagnanr",4,Full-Time
32,Great,Recommends,Positive Outlook,I have been working at this company full-time,Great company to work lot of opportunities,No cons as of now or at this point of time,5,Full-Time
33,Good paying job,Recommends,Positive Outlook,I worked at this company full-time for more than a year,The work exposure is very good and you'll definitely pick up good work style.,10 hours shift for a few processes,2,Full-Time
34,Good place to enhance your skills,Recommends,Approves of CEO,I worked at this company full-time for more than 3 years,"Flexible work arrangements depending on role.
If you're an IT professional, its a great place to learn new skills.
The people are personable and hard-working
Great employer to have on your resume","Benefits are not very competitive compared to other organizations. 
The annual review process is very subjective; competitive environment.",4,Full-Time
35,Great IT services company with multiple opportunities,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Great company with-
multiple internal learning resources
In-house trainings
up-skilling opportunities
relocation and Onsite opportunities","depends on project and manager
variable amounts not paid fully",4,Full-Time
36,Misuse the position you have been hired,Doesn't Recommend,Negative Outlook,I worked at this company full-time for more than a year,I haven't see pro yet anything,"I joined this company last year March 2020 as application development analyst,but they put me forcefully in security support saying no Java project is available in this covid, I joined the security support thinking of that they will put back once Java project available but it's been one year I have requested low to higher  management to put back in Java project but they denied not even releasing from project.
Even though I good performance feedback that been discussed with me individual and given same on performance portal but when I again asked for release ,they gave negative feedback in performance portal without discussing with me and removed the earlier given feedback. And started threating mentally for no reason . So I had to put papper without any justice..it has not happened with me only but with multiple candidate over their.I request for release from support project to people advisor and higer level of manger but didn't get any resolutions except mental threatens.",2,Full-Time
37,Excellent Company,Recommends,Neutral Outlook,I worked at this company full-time,Easy to start your career and can get many opportunities to build a career.,"Nothing much, everything seems pretty good",4,Full-Time
38,Working as a BA in this company in US healthcare domain,Recommends,Positive Outlook,I have been working at this company full-time,Sometime overtime needed to be done,Nice hike and compensation plans,5,Full-Time
39,LOW Salary against market standard in india,Doesn't Recommend,Positive Outlook,I have been working at this company full-time for more than 3 years,"job security, company policies, WLB",LOW Salary against market standard in india,4,Full-Time
40,LOW Salary against market standard in india,Doesn't Recommend,Positive Outlook,I have been working at this company full-time for more than 3 years,"job security, company policies, WLB",LOW Salary against market standard in india,4,Full-Time
41,Best place to work at,Negative Outlook,Approves of CEO,I have been working at this company full-time,Great place to work at,No eod limit work can strech for long nights,5,Full-Time
42,Good organization to work for,Recommends,Positive Outlook,I have been working at this company full-time,"Work life balance,
Flexibility with time",Insurance doesn't include your parents even if you are single,5,Full-Time
43,Excellent,Recommends,Neutral Outlook,I worked at this company full-time,"- Company is growing so there are opportunities that might not immediately exist
- Company provides regular communication, listen to and consider new ideas, and
continually encouraging growth, both personally and professionally
- Company understands work-life balance and actually respects that
- Culture is conducive to creating friends and mentors with lots of opportunities to get involved based on your interests
- This is a place you can call home; many employees have been here a long time which allows deep integration into the business and the ability to create pathways to success
for others","No company is perfect. While we grow, there are things that are evolving (updating technology, adding office space, formalizing procedures, etc.) that come along with any
growing company. It's important to not get hung up on what's wrong, but to focus on what is happening that is right and the progress in actions. With this growth is an opportunity to define the future and the role you play in it",4,Full-Time
44,Work Life Balance,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Not Much pressure to ASE, flexible work env",Sometime after training ase are on bench for 3-4 months which is not good regarding career growth,2,Full-Time
45,Good Company,Recommends,No Opinion of CEO,I worked at this company full-time,"Working is good, easy to start a career. Can grow much","Nothing very much, seems good",4,Full-Time
46,Variety of opportunities,Recommends,Positive Outlook,I worked at this company full-time for more than 8 years,Good number of projects and lots of opportunities,Job security and promotions are not fair,9,Full-Time
47,Nice company to work,Approves of CEO,Negative Outlook,I have been working at this company full-time,"Employee benefit, flexibility, work life balance",may be there but not any major,5,Full-Time
48,Very pleasant experience as an employee,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"Good opportunities, good work-life balance","Less transparency, complex managerial hierachy",6,Full-Time
49,Best place to begin with,Recommends,Positive Outlook,I have been working at this company full-time,"work culture is great, I saw a lot of good people there.
most of the project don't have rotation shift, mostly we have fixed time for each project",salary is low when compare to the market,5,Full-Time
50,Best company to work with,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Hikes are good.
Work life balance",HR is not reachable here.,4,Full-Time
