index,review_title,overall_rating,review_text,recommends,pros,cons,experience,shift
51,Review Really Depends on the Project That You Get,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"You get to work with best people. The environment here really fosters your growth. If you are a fresher, you'll be well-groomed and this company (as a company) really invests in your growth by sponsoring your certifications, In-depth trainings etc.
You'll be surprised to know how much the company gives you back if you deliver your best here. Processes are in place that correctly measure your performance and you will be rewarded for your work - No politics will get in the way. That really says a lot about this company.","Getting to the brass tacks, when I started here as a fresher, wages were bit lower than what other MNCs had to offer (at least at my time). The main con that I faced was that my talent was not easily recognized. With thousands of employees joining in a batch, you have to struggle to shine through. This of-course, was a problem in my project. Leads in my project took too long to notice individual talents and skills of my teammates & myself included. Also, in my experience, work hours were longer than usual and we were expected to work in night shifts for very long time in continuity. In my project, I worked in night-shifts for a year in continuity.",6,Full-Time
52,Great work life Balance,Recommends,Positive Outlook,I have been working at this company full-time,"All Good
Nice culture
Employee Friendly
Leaves friendly",No Cons as of now,5,Full-Time
53,best company,Positive Outlook,Disapproves of CEO,I have been working at this company full-time,best company ever i worked till.,"helpful,staffing,faculty is best in all departments.",5,Full-Time
54,Good place to learn,Negative Outlook,Neutral Outlook,I worked at this company full-time,Good place for freshers must join.,Base salary is very less.,4,Full-Time
55,Okay okay,Positive Outlook,Negative Outlook,I worked at this company full-time,Working on different tech stacks.,No flexi timing to enter and leave.,4,Full-Time
56,Good Company,Recommends,Positive Outlook,I have been working at this company full-time,"Employee friendly, work balance is good",Project allocation is very stringent,5,Full-Time
57,Work and process,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,well defined process to work and high change of growth,poor management low support to own employees,2,Full-Time
58,Your fate depends in the project you are put in,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Had the honour of working with some great people, good compensation , enough paid leaves provided, participation in team-building/cultural activities and convenience of WFH, work culture is good.","You may not get opportunities to grow. It all depends in the project that the company chooses for you. I've worked in 4-5 different projects in the span of 3.5 years and none of them gave me enough time or opportunity for growth in my primary skills, let alone secondary ones. I've known people in the company constantly benched(some even for as long as 1+ year) and kept waiting to be put into projects.",4,Full-Time
59,Awesome company,Recommends,Positive Outlook,I have been working at this company full-time,Best Environment and work culture,No any Cons as such,5,Full-Time
60,good,Recommends,Neutral Outlook,I have been working at this company full-time,good environment and best for working,no cons for me atleast,5,Full-Time
61,Great place to work at.,Neutral Outlook,Negative Outlook,I worked at this company full-time,Great place to work at.,Difficult for outside people to get in as the outside sourcing is defective.,4,Full-Time
62,GOOD,Positive Outlook,Disapproves of CEO,I have been working at this company full-time,great work culture and team,No Cons as such at all,5,Full-Time
63,a good experience,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Leadership, good infrastructure, good working environment, diversity and inclusion, culture followed","low salary, bench system, no high technology projects",2,Full-Time
64,Good,Positive Outlook,Disapproves of CEO,I worked at this company full-time for more than 3 years,Good place to work at,Less salary more time working,4,Full-Time
65,more projects,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work life balance is good in this company,There are lot other activities has to accomplish along with work,6,Full-Time
66,good company,Recommends,Approves of CEO,I have been working at this company full-time for more than 3 years,good work life balance. they pay for extra hours,late promotion in this company. senior manager are least bothered,4,Full-Time
67,Great place to work,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Transport, Salary, Career Growth, Employee wellbeing","Time consuming Transport, Not great with Overtime and night shift allowance",4,Full-Time
68,Nice job,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,"Office campus,nice process,nice supervisor,nice team lead, nice team","Nothing as of now,still there's a long way to go",1,Full-Time
69,Review by employee,Disapproves of CEO,Disapproves of CEO,I have been working at this company full-time,Many health care benifits specially during the pandemic,None experienced yet it's an employee friendly environment,5,Full-Time
70,Flexible timings & growth opportunities,Recommends,Positive Outlook,I have been working at this company full-time,"Growth opportunities, Great learning & experience",Choice to select project after Training,5,Full-Time
71,Resource management Operations,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Policies are good, Work Environment is Amazing",Internal role shifts are difficult.,4,Full-Time
72,Application Development Associate,Approves of CEO,Approves of CEO,I worked at this company full-time for more than a year,work place atmosphere & good learning experience,Bad work timings & Poor Senior Management,2,Full-Time
73,Variable pay is worst,Approves of CEO,Positive Outlook,I worked at this company full-time for more than a year,"No such Pro, same as other IT companies.","when you accept offer from this company or if you are in discussing your salary , then try to make your variable component as minimum as possible and your fix as more.
this company pays variable twice a year and that too as 50% and if you leave the company in between, your variable pay will be lost.",2,Full-Time
74,Good Place to Work,Recommends,Neutral Outlook,I worked at this company full-time for more than 3 years,The Work environment for a fresher was appreciably good. Management provides good ownership or accountability to the best possible level. This all could be Project specific as well,"As a fresher joined through Campus Placements and graduated from Computer Science background, couldn't choose the Domain/Technology preferred. Had to directly join the Technology specific Training which was randomly categorized and had no option of Rejection due to the Agreements already signed",4,Full-Time
75,Great Place to Work,Negative Outlook,Neutral Outlook,I have been working at this company full-time for more than 5 years,Great Place to Work and there are several medical facilities.,Employees count is so high to growth is very slow,6,Full-Time
76,Good company to work,Recommends,Approves of CEO,I have been working at this company full-time for more than 8 years,"Good Learning opportunity, Projects , Additonal benefits, Work life balance, Salary for lateral entry",Existing employee get less hike,9,Full-Time
77,Good company to settle down,Recommends,Positive Outlook,I have been working at this company part-time for more than 5 years,"- Policies are good.
-Facilities and infrastructure is great.
- opportunities to learn","- Less promotion
- percentage of increment is less",6,Part-Time
78,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Transport, Area facility, Help desk",There are no downsides i faced.,4,Full-Time
79,Experience In this company,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good exposure in work as an engineer,No work-life balance. Over time work,2,Full-Time
80,Great Company to Learn and Grow,Recommends,Positive Outlook,I have been working at this company full-time,Good in improve our talent towards market skills,There is no cons to say about this company,5,Full-Time
81,this company,Neutral Outlook,Approves of CEO,I have been working at this company full-time,Good for starting career from,"Shift Timings, Management is not good, depends on project",5,Full-Time
82,Good,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Gives importance to work life balance and encourage diversity,As a fresher you find it difficult to get into a suitable project,4,Full-Time
83,Good place to work,Doesn't Recommend,Positive Outlook,I have been working at this company full-time,Good leadership.. Great Resource knowledge,"Work life balance is low. 
High work pressure. 
Career movement is slow. 
Work on weekends. 
Low visibility of Career movement.",5,Full-Time
84,Good place to work,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,1. Good colleagues 2. Good company culture,1. Too much travel 2. Sometimes quality of work goes down,4,Full-Time
85,very good company to work with,Recommends,Negative Outlook,I worked at this company full-time for more than a year,"very good atmospher, we can learn new thing",no down side as i have seen,2,Full-Time
86,Great experience,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Great experience and environment to work,No cons as of now,2,Full-Time
87,Culture,Neutral Outlook,Positive Outlook,I have been working at this company full-time,Very professional and work culture is good,None as such but not sure,5,Full-Time
88,Great company to work with,Recommends,Positive Outlook,I have been working at this company full-time for more than 8 years,Flexible and good work environment,Lateral hiring process is very slow,9,Full-Time
89,Work Culture,No Opinion of CEO,Negative Outlook,I worked at this company full-time,Great brand to work with,"No work life balance , hectic",4,Full-Time
90,Review,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good to be worked there,Nothing as of now seen.,2,Full-Time
91,Good for Experienced Candidates,Recommends,Neutral Outlook,I have been working at this company full-time for more than 3 years,"Good for experienced resource, Comparatively better than other IT service sector in terms of Salary hike.",Freshers are allotted to support projects,4,Full-Time
92,AM,Approves of CEO,Negative Outlook,I worked at this company full-time for more than 10 years,Good environment to work with,Less salary and compensation and perks,12,Full-Time
93,Career at this company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Good work-life balance, great work environment , good projects too",no cons are experienced till now,4,Full-Time
94,Careering Defining Company,Recommends,Positive Outlook,I have been working at this company full-time,Very good experience with the colleges and work culture. The management always supports with the relevant help required for the employee.,"unable to choose the technology/skill while coming as a fresher.
salary is less being in the same company.",5,Full-Time
95,Culture at ace,Recommends,Negative Outlook,I worked at this company full-time for more than a year,Best culture and benefits for full time employees,Too many inner politics and hierarchy biased,2,Full-Time
96,Looking,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Your working for a large cotporation, you process your own time sheet. You get lots of tech leadership process intenatinal standards training. You have a budget for team building. You get into diffrent projects, you get to interact with an international team. Travel overseas? Maybe or not.

Follow procedures process because most admin task will be completed by you. This allows them to employ less admin people. Everybodys got a team lead.

Your job objective performance objective are well defined and boy the list is endless.",Too much tech admin training compliance task to do. It fills your whole day or else?! Your TL will chase you endlessly. The chasing will reach the top org ladder barking at you.,2,Full-Time
97,Company review,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work culture and resources available,Package not good as per industry standards,6,Full-Time
98,Good organisation to work with,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Salary hike is good in start 
Learning wise its good","Management is very poor 
Notice period is of long duration",2,Full-Time
99,Great place to Work,Negative Outlook,Approves of CEO,I have been working at this company full-time for more than 8 years,"Work culture
Learning curve
diversity and inclusion","work life balance 
switching between projects",9,Full-Time
100,Company review,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work culture and resources available,Package not good as per industry standards,6,Full-Time
101,Good organisation to work with,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Salary hike is good in start 
Learning wise its good","Management is very poor 
Notice period is of long duration",2,Full-Time
102,Good place to work,Approves of CEO,No Opinion of CEO,I worked at this company full-time,Good work life balance and good leadership,High share of variable pay,4,Full-Time
103,Great place to Work,Recommends,Negative Outlook,I have been working at this company full-time for more than 8 years,"Work culture
Learning curve
diversity and inclusion","work life balance 
switching between projects",9,Full-Time
104,Zero Work Life Balance!,Doesn't Recommend,Neutral Outlook,I worked at this company full-time,Decent Compensation acc. to Market,"Management bullies you into working long hours
Very little consideration for the employee
Recognition and promotions are biased
Management can become unprofessional and get personal
Zero onboarding support, you are left to figure out everything yourself
The HR department doesn't exist. HR is horrendous to deal with.
Heavy politics at play.

If you want to get ridiculed and be told how unworthy you are of your job, or get blackmailed, harassed, and bullied into believing that you can't raise your voice, please go ahead. You will be bullied in your interview and given threats to be blacklisted if you leave the company prior to your commitment.

Complete waste of time and energy.",4,Full-Time
105,Its a good company,Recommends,Positive Outlook,I have been working at this company full-time,"Friendly and supportive management
Good work culture (Depends on project)
Work life balance 
Company invests on trainings and certifications
Strong and result oriented processes are followed","Minimal onshore opportunities
Career advancement takes time unless you are a smart candidate and build good relationships",5,Full-Time
106,Great place to work,Recommends,Positive Outlook,I have been working at this company full-time,"Best service based company.
I am happy with my project and manager. 
Has been working for same client under same manager for five years.",Workplace environment friendliness is based on project and manager.,5,Full-Time
107,good,Positive Outlook,No Opinion of CEO,I worked at this company full-time for more than a year,good work culture in company,a lot of internal politics,2,Full-Time
108,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"Good environment 
Place to learn",No cons it’s a great place to work,6,Full-Time
109,Good for new project,Recommends,Positive Outlook,I have been working at this company full-time,Company has new project to work,Pay less compare to skills,5,Full-Time
110,IT Project Manager,Doesn't Recommend,Negative Outlook,I worked at this company full-time for more than 10 years,"I worked with this company for almost 14 years. It was a wonderful organisation when they set up their base in Gurgaon in 2006. Over the years the values have gone down the drain and only thing which is left is how to save your side kicks so if you know how to impress your manager and clean his/her shoes then you can survive, if not then be prepared to be kicked out anytime","No Use to waste your time here. Better to start with a startup. We all know how they left their employees stranded in the middle of the pandemic. All these schemes of 1 time bonus, salary hikes is just wash their misdeeds clean in public eye.",12,Full-Time
111,Grear,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Great work environment at work,None can I remember at time,4,Full-Time
112,Great,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Best place to work
Good team members",Nothing as such. Its great place,2,Full-Time
113,this company,Recommends,Positive Outlook,I have been working at this company full-time,Overall It's a very good service based IT company to work with,No Cons. You will loose most of your package in variable bonus,5,Full-Time
114,Best Company to Work,Approves of CEO,Disapproves of CEO,I have been working at this company full-time,this company is the best company to work in all means.,Nothing i could see till date,5,Full-Time
115,Company work experience,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Had learnt a lot as I have joined as a fresher,Politics and partiality is shown,2,Full-Time
116,AVG Company,Recommends,Approves of CEO,I worked at this company full-time for more than 5 years,Good - Lots of Oppurtunity to grow,Cons - Nothing as such,6,Full-Time
117,Nice Company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Training and Projects, Infrastructure, Canteens",HR policies not clear to employees,4,Full-Time
118,Company Rating,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than a year,Both side transportation and that too not available right now due to office closure in Corona time.,"Low Salary structure for internal employees, no learning opportunities, senior management is not supportive, too much work pressure with no monetary benefits at all.",2,Full-Time
119,Decent job for short term,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Decent work culture and good people around,Repetitive work which will get boring after a period of time,1,Full-Time
120,AVG Company,Recommends,Approves of CEO,I worked at this company full-time for more than 5 years,Good - Lots of Oppurtunity to grow,Cons - Nothing as such,6,Full-Time
121,Nice Company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Training and Projects, Infrastructure, Canteens",HR policies not clear to employees,4,Full-Time
122,Company Rating,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than a year,Both side transportation and that too not available right now due to office closure in Corona time.,"Low Salary structure for internal employees, no learning opportunities, senior management is not supportive, too much work pressure with no monetary benefits at all.",2,Full-Time
